Title,Year,Rating,URL
Before Sunrise,1995,8.1,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_194
Memories of Murder,2003,8.1,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_195
Blade Runner,1982,8.1,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_196
How to Train Your Dragon,2010,8.1,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_197
Spider-Man: No Way Home,2021,8.1,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_198
Gone Girl,2014,8.1,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_199
"Monsters, Inc.",2001,8.1,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_200
Jaws,1975,8.1,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_201
In the Name of the Father,1993,8.1,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_202
Le Mans '66,2019,8.1,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_203
Wild Tales,2014,8.1,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_204
The Gold Rush,1925,8.1,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_205
Sherlock Jr.,1924,8.1,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_206
Mary and Max,2009,8.1,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_207
The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_208
The Wages of Fear,1953,8.1,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_209
The General,1926,8.1,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_210
Logan,2017,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_211
Rocky,1976,8.1,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
Mr. Smith Goes to Washington,1939,8.1,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_213
Tokyo Story,1953,8.1,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_214
On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_215
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_216
Wild Strawberries,1957,8.1,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_217
Spotlight,2015,8.1,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_218
La haine,1995,8.1,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_219
